"","V1","V2"
"1",5.8,4
"2",5.7,4.4
"3",5.7,3.8
"4",7,3.2
"5",6.4,3.2
"6",6.9,3.1
"7",6.5,2.8
"8",6.3,3.3
"9",6.6,2.9
"10",6.7,3.1
"11",5.9,3.2
"12",6.4,2.9
"13",6.6,3
"14",6.8,2.8
"15",6.7,3
"16",6,3.4
"17",6.7,3.1
"18",6.1,3
"19",6.2,2.9
"20",6.3,3.3
"21",7.1,3
"22",6.3,2.9
"23",6.5,3
"24",7.6,3
"25",7.3,2.9
"26",7.2,3.6
"27",6.5,3.2
"28",6.8,3
"29",6.4,3.2
"30",6.5,3
"31",7.7,3.8
"32",7.7,2.6
"33",6.9,3.2
"34",7.7,2.8
"35",6.7,3.3
"36",7.2,3.2
"37",6.1,3
"38",6.4,2.8
"39",7.2,3
"40",7.4,2.8
"41",7.9,3.8
"42",6.4,2.8
"43",7.7,3
"44",6.3,3.4
"45",6.4,3.1
"46",6.9,3.1
"47",6.7,3.1
"48",6.9,3.1
"49",6.8,3.2
"50",6.7,3.3
"51",6.7,3
"52",6.5,3
"53",6.2,3.4
